departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-07,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-11,NO,2022.0
ANTIOQUIA,0,2023-01-04,NO,2023.0
ATLÁNTICO,0,2025-02-19,NO,2025.0
BOYACÁ,0,2025-03-07,NO,2025.0
BOLÍVAR,0,2023-12-11,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-11-11,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-02-13,NO,2023.0
VALLE DEL CAUCA,0,2025-06-14,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-12-03,NO,2024.0
QUINDÍO,0,2022-08-15,NO,2022.0
HUILA,0,2024-08-26,NO,2024.0
ATLÁNTICO,15436735,2025-06-25,SI,2025.0
HUILA,0,2023-07-05,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-03-20,NO,2020.0
ARAUCA,0,2024-04-02,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-07-30,NO,2018.0
DISTRITO CAPITAL DE BOGOTÁ,1134441210,2024-09-09,SI,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-05-13,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-10-15,NO,2024.0
VALLE DEL CAUCA,0,2021-08-13,NO,2021.0
CUNDINAMARCA,0,2026-03-06,NO,2026.0
SANTANDER,0,2025-05-26,NO,2025.0
ANTIOQUIA,0,2022-08-05,NO,2022.0
ANTIOQUIA,0,2023-08-03,NO,2023.0
CUNDINAMARCA,0,2025-09-08,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-10-20,NO,2022.0
SANTANDER,0,2025-08-29,NO,2025.0
TOLIMA,0,2023-01-03,NO,2023.0
BOYACÁ,0,2023-07-19,NO,2023.0
SUCRE,0,2021-07-22,NO,2021.0
META,0,2022-10-24,NO,2022.0
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12585000,2017-03-10,SI,2017.0
BOYACÁ,0,2024-06-06,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-03-10,NO,2025.0
BOYACÁ,0,2025-10-02,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-05-16,NO,2025.0
CALDAS,0,2023-03-03,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,192372000,2018-09-03,SI,2018.0
VALLE DEL CAUCA,0,2023-11-01,NO,2023.0
SANTANDER,0,2025-10-30,NO,2025.0
ANTIOQUIA,0,2023-02-07,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,790230000,2021-11-19,SI,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-08-29,NO,2025.0
NORTE DE SANTANDER,0,2025-09-17,NO,2025.0
CUNDINAMARCA,0,2023-01-31,NO,2023.0
CHOCÓ,0,2024-05-17,NO,2024.0
CAUCA,0,2025-05-13,NO,2025.0
CASANARE,0,2021-09-20,NO,2021.0
VALLE DEL CAUCA,0,2025-12-04,NO,2025.0
ANTIOQUIA,0,2021-08-23,NO,2021.0
ANTIOQUIA,0,2022-11-15,NO,2022.0
CESAR,0,2023-06-07,NO,2023.0
NO DEFINIDO,0,2022-12-12,NO,2022.0
SANTANDER,0,2025-02-01,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-08-29,NO,2022.0
QUINDÍO,0,2026-01-27,NO,2026.0
QUINDÍO,0,2021-01-21,NO,2021.0
CAQUETÁ,0,2024-01-23,NO,2024.0
NO DEFINIDO,0,2025-09-03,NO,2025.0
CESAR,0,2026-01-07,NO,2026.0
TOLIMA,0,2024-03-19,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-02-15,NO,2021.0
NO DEFINIDO,0,2024-04-03,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-01-25,NO,2019.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-11-13,NO,2025.0
NO DEFINIDO,0,2024-05-30,NO,2024.0
NO DEFINIDO,0,2022-10-27,NO,2022.0
TOLIMA,0,2024-11-18,NO,2024.0
CESAR,0,2022-01-25,NO,2022.0
VALLE DEL CAUCA,0,2021-11-12,NO,2021.0
CUNDINAMARCA,0,2025-02-24,NO,2025.0
SANTANDER,0,2022-10-11,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-20,NO,2026.0
SUCRE,0,2022-07-07,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,41325000,2021-11-18,SI,2021.0
ANTIOQUIA,0,2024-04-08,NO,2024.0
CALDAS,0,2026-01-17,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-16,NO,2026.0
QUINDÍO,0,2021-01-20,NO,2021.0
NARIÑO,0,2025-02-01,NO,2025.0
ANTIOQUIA,0,2022-06-30,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-03-31,NO,2020.0
CAUCA,114734375,2023-12-05,SI,2023.0
HUILA,0,2024-11-24,NO,2024.0
