departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
CAQUETÁ,0,2024-08-09,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-01-30,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-08-06,NO,2025.0
ANTIOQUIA,0,2022-02-01,NO,2022.0
QUINDÍO,0,2022-01-27,NO,2022.0
VALLE DEL CAUCA,0,2022-11-01,NO,2022.0
NO DEFINIDO,0,2024-01-04,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,1005706033,2018-06-08,SI,2018.0
ATLÁNTICO,0,2026-02-27,NO,2026.0
CASANARE,0,2023-05-15,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-05-06,NO,2025.0
CUNDINAMARCA,0,2024-10-25,NO,2024.0
NARIÑO,0,2022-10-07,NO,2022.0
CÓRDOBA,0,2025-05-07,NO,2025.0
RISARALDA,0,2023-10-21,NO,2023.0
NO DEFINIDO,0,2025-11-11,NO,2025.0
CALDAS,0,2019-08-05,NO,2019.0
ANTIOQUIA,39857999,2025-09-04,SI,2025.0
ATLÁNTICO,0,2023-06-05,NO,2023.0
QUINDÍO,0,2025-02-07,NO,2025.0
SANTANDER,0,2023-03-14,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,36450000,2018-03-12,SI,2018.0
RISARALDA,0,2023-09-27,NO,2023.0
BOLÍVAR,0,2024-08-23,NO,2024.0
CUNDINAMARCA,0,2025-06-03,NO,2025.0
SANTANDER,0,2021-11-25,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-05-27,NO,2020.0
SANTANDER,0,2022-11-03,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,1800000,2018-05-11,SI,2018.0
QUINDÍO,0,2023-03-08,NO,2023.0
ANTIOQUIA,523988010,2024-05-16,SI,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-11-20,NO,2024.0
SANTANDER,0,2022-11-21,NO,2022.0
VALLE DEL CAUCA,0,2020-04-27,NO,2020.0
CAUCA,0,2025-03-26,NO,2025.0
NORTE DE SANTANDER,0,2024-06-20,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-03-13,NO,2024.0
BOYACÁ,0,2024-10-04,NO,2024.0
SANTANDER,0,2026-01-26,NO,2026.0
SUCRE,0,2024-03-13,NO,2024.0
CAUCA,0,2021-02-25,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,30305000,2018-09-19,SI,2018.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-01-08,NO,2021.0
ANTIOQUIA,0,2023-05-19,NO,2023.0
ANTIOQUIA,0,2024-08-09,NO,2024.0
RISARALDA,0,2022-10-03,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-12-23,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-02-06,NO,2023.0
CUNDINAMARCA,0,2022-08-03,NO,2022.0
VALLE DEL CAUCA,0,2022-10-18,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-12-22,NO,2021.0
NORTE DE SANTANDER,0,2022-10-21,NO,2022.0
RISARALDA,0,2023-01-24,NO,2023.0
CALDAS,0,2023-02-03,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-01-12,NO,2025.0
SANTANDER,0,2023-05-31,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-12-05,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-19,NO,2022.0
VALLE DEL CAUCA,0,2022-01-20,NO,2022.0
BOLÍVAR,0,2025-03-01,NO,2025.0
CAQUETÁ,0,2026-01-27,NO,2026.0
LA GUAJIRA,0,2024-06-25,NO,2024.0
NO DEFINIDO,0,2025-07-24,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-01-17,NO,2025.0
NO DEFINIDO,0,2024-03-13,NO,2024.0
CAUCA,0,2025-10-15,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-02-19,NO,2019.0
MAGDALENA,0,2024-06-30,NO,2024.0
NO DEFINIDO,0,2023-06-09,NO,2023.0
MAGDALENA,0,2024-02-12,NO,2024.0
CUNDINAMARCA,0,2023-06-23,NO,2023.0
SUCRE,0,2025-09-24,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-09-11,NO,2025.0
SANTANDER,52000000,2020-08-10,SI,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-04-14,NO,2023.0
SANTANDER,0,2026-02-11,NO,2026.0
META,0,2025-11-14,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-11-28,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-03-27,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-09-09,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-25,NO,2026.0
VALLE DEL CAUCA,0,2025-01-17,NO,2025.0
CESAR,0,2023-01-27,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-02-09,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-04-17,NO,2024.0
CESAR,0,2024-09-03,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-01-19,NO,2024.0
CUNDINAMARCA,0,2023-06-22,NO,2023.0
MAGDALENA,0,2023-08-11,NO,2023.0
CAUCA,206010800,2023-09-15,SI,2023.0
NO DEFINIDO,0,2024-02-06,NO,2024.0
VALLE DEL CAUCA,0,2020-08-26,NO,2020.0
NO DEFINIDO,0,2025-01-03,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-06-29,NO,2020.0
SANTANDER,0,2023-12-18,NO,2023.0
VALLE DEL CAUCA,0,2024-01-27,NO,2024.0
BOYACÁ,0,2022-12-30,NO,2022.0
NO DEFINIDO,0,2019-01-25,NO,2019.0
